en	fr
Debian Edu Skolelinux Bookworm Manual	Manuel de Debian Edu Skolelinux Bookworm
Publish date:	Date de publication
Manual for Debian Edu Codename bookworm	Manuel de Debian Edu nom de code Bookworm
This is the manual for the Debian Edu bookworm) release.	Voici le manuel de la version de Debian Edu Bookworm).
The source at is a wiki and updated frequently.	La version disponible depuis est un wiki fréquemment mis à jour.
Updated translations are available online.	Des traductions à jour sont disponibles en ligne.
Debian Edu aka Skolelinux is a Linux distribution based on Debian providing an out of the box environment of a completely configured school network. It implements a client server approach. Servers and clients are pieces of software that interact with one another. Servers provide information required by clients to function. When a server is installed on one machine and its client on a different machine, the machines themselves are referred to as the server and the client, by extension of the concept.	Debian Edu, aussi connue sous le nom de Skolelinux, est une distribution Debian fournissant un environnement de réseau scolaire complètement configuré. Elle implémente une approche client serveur. Les serveurs et les clients sont des éléments de logiciel qui interagissent entre eux. Les serveurs fournissent l'information requise par les clients pour fonctionner. Quand un serveur est installé sur une machine et son client sur une machine différente, les machines elles mêmes sont appelées le serveur et le client, par extension du concept.
The chapters about hardware and network requirements and about the architecture contain basic system design details.	Les chapitres sur les besoins matériels et sur l'architecture fournissent des détails sur la conception du système de base.
After installation of a main server, all services needed for a school network are set up and the system is ready to be used. Only users and machines need to be added via GOsa², a comfortable Web UI, or any other LDAP editor. A netbooting environment using PXE iPXE has also been prepared, so after initial installation of the main server from CD, Blu ray disc or USB flash drive all other machines can be installed via the network, this includes roaming workstations ones that can be taken away from the school network, usually laptops or netbooks). Also, machines can be booted via PXE iPXE as diskless workstations or thin clients.	Immédiatement après l'installation, un serveur faisant fonctionner tous les services pour le réseau de l'école est configuré, et le système est prêt à être utilisé. Seul l'ajout d'utilisateurs et de stations de travail a besoin d'être effectué au moyen de GOsa², une interface web agréable, ou de n'importe quel autre éditeur LDAP. Un environnement d'amorçage par le réseau avec PXE iPXE a aussi été préparé. Ainsi, après l'installation initiale du serveur principal depuis un CD, un disque Blu ray ou une clé USB, les autres machines pourront être installées par le réseau. Cela inclut aussi bien les stations de travail mobiles c'est à dire celles qui peuvent être retirées du réseau de l'école, habituellement les ordinateurs portables et les mini ordinateurs). Des machines peuvent aussi être démarrées à l’aide de l’amorçage PXE iPXE telles des stations de travail sans disque dur ou des clients légers.
Some history and why two names	Historique du projet et raison de la double dénomination
Debian Edu Skolelinux is a Linux distribution created by the Debian Edu project. As a Debian Pure Blend distribution it is an official Debian subproject.	Debian Edu Skolelinux est une distribution Linux créée par le projet Debian Edu. Elle fait partie de la publication Debian Pure Blend en tant que sous projet Debian officiel.
The figure is a sketch of the assumed network topology. The default setup of a Skolelinux network assumes that there is one and only one) main server, while allowing the inclusion of both normal workstations and LTSP servers with associated thin clients and or diskless workstations). The number of workstations can be as large or small as you want starting from none to a lot). The same goes for the LTSP servers, each of which is on a separate network so that the traffic between the clients and the LTSP server doesn't affect the rest of the network services. LTSP is explained in detail in the related HowTo chapter.	Le diagramme est un schéma de la topologie supposée du réseau. La configuration par défaut d'un réseau Skolelinux suppose qu'il y a un et un seul) serveur principal et permet l'accueil à la fois de stations de travail normales et de serveurs LTSP avec les clients légers ou les stations de travail sans disque associés). Le nombre de stations de travail peut être aussi grand ou petit que vous le souhaitez d'aucune à beaucoup). De même pour les serveurs LTSP, chacun étant sur un réseau distinct de sorte que le trafic entre les clients et le serveur LTSP n'affecte pas le reste des services du réseau. LTSP est expliqué en détail dans le chapitre correspondant du manuel.
The reason that there can only be one main server in each school network is that the main server provides DHCP, and there can be only one machine doing so in each network. It is possible to move services from the main server to other machines by setting up the service on another machine, and subsequently updating the DNS configuration, pointing the DNS alias for that service to the right computer.	La raison pour laquelle il ne peut y avoir qu'un seul serveur principal dans un réseau d'école est que celui ci fournit DHCP, et il ne peut y avoir qu'une seule machine fournissant ce service sur chaque réseau. Il est possible de déplacer un service depuis le serveur principal vers une autre machine en le configurant sur cette dernière puis en mettant à jour la configuration DNS, en faisant pointer l'alias DNS pour ce service vers l'ordinateur concerné.
In order to simplify the standard setup of Skolelinux, the Internet connection runs over a separate router, also called gateway. See the Internet router chapter for details how to set up such a gateway if it is not possible to configure an existing one as needed.	Afin de simplifier les réglages de base de Skolelinux, la connexion à Internet s'effectue par un routeur séparé, appelé également passerelle. Consultez le chapitre routeur Internet pour des détails sur la configuration d'une passerelle s'il n'est pas possible d'en utiliser une existante comme il faut.
The default network setup	Configuration réseau par défaut
DHCP on the main server serves the network, providing a PXE boot menu where you can choose whether to install a new server workstation, boot a thin client or a diskless workstation, run memtest, or boot from the local hard disk.	Le serveur DHCP sur le serveur principal dessert le réseau en fournissant un menu d'amorçage syslinux PXE) où vous pouvez choisir d'installer un nouveau serveur ou une station de travail, démarrer un client léger ou une station de travail sans disque, exécuter memtest ou démarrer du disque dur local.
This is designed to be modified; for details, see the related HowTo chapter.	Il est conçu pour être modifié pour plus de détails, consultez le chapitre correspondant du manuel.
DHCP on the LTSP servers only serves a dedicated network on the second interface and are preconfigured options) and should seldom need to be changed.	Le serveur DHCP des serveurs LTSP ne dessert qu'un réseau dédié sur la deuxième interface et sont les options préconfigurées) et ne devrait pas souvent être modifié.
The configuration of all subnets is stored in LDAP.	La configuration de tous les sous réseaux est stockée dans LDAP.
Main server	Serveur principal
A Skolelinux network needs one main server hostname tjener which is Norwegian and means server which per default has the IP address and is installed by selecting the Main Server profile. It's possible but not required) to also select and install the LTSP Server and Workstation profiles in addition to the Main Server profile.	Un réseau Skolelinux a besoin d'un serveur principal dont le nom d'hôte est tjener qui est le mot norvégien pour serveur qui a par défaut l'adresse IP et qui est installé en sélectionnant le profil de serveur principal. Il est possible mais non nécessaire) de sélectionner et d'installer également les profils de serveur LTSP et de station de travail en plus du profil de serveur principal.
