ast,ca,zh_TW,cs,nl,en,fi,fr,ka,de,hi,ja,nn,pt_BR,ru,es,tr,uk
2024-09-24 10:29:22.307118,2024-09-24 10:29:22.571243,2024-09-24 10:29:22.829297,2024-09-24 10:29:23.119710,2024-09-24 10:29:23.385593,2024-09-24 10:29:23.652218,2024-09-24 10:29:23.967265,2024-09-24 10:29:24.282541,2024-09-24 10:29:24.583411,2024-09-24 10:29:24.908221,2024-09-24 10:29:25.189645,2024-09-24 10:29:25.492274,2024-09-24 10:29:25.790441,2024-09-24 10:29:26.020420,2024-09-24 10:29:26.337218,2024-09-24 10:29:26.637960,2024-09-24 10:29:26.903008,2024-09-24 10:29:27.161610
,Aquest mòdul no admet la línia d'ordres. Useu %s.,,Tento modul nepodporuje příkazový řádek. Použijte '%s'.,Deze module ondersteunt geen opdrachtregel. Gebruik in plaats daarvan '%s'.,This module does not support command line. Use '%s' instead.,Tämä moduuli ei tue komentoriviä. Käytä komentoa ”%s”.,Ce module ne prend pas en charge la ligne de commande. Utilisez '%s' à la place.,ამ მოდულს ბრძანების სტრიქონის მხარდაჭერა არ გააჩნია. გამოიყენეთ '%s'.,Dieses Modul unterstützt die Kommandozeile nicht. Benutze '%s' stattdessen.,इस अनुखंड हेतु कमांड लाइन समर्थन अनुपलब्ध है। इसके स्थान पर '%s' उपयोग करें।,このモジュールはコマンドラインには対応していません。代わりに '%s' をお使いください。,,Este módulo não suporta linha de comando. Use '%s' no lugar.,Этот модуль не поддерживает командную строку. Вместо этого воспользуйтесь «%s».,Este módulo no admite la línea de comandos. Use '%s' en su lugar.,Bu modül komut satırını desteklemiyor. Bunun yerine '%s' kullanın.,Цей модуль не підтримує командний рядок. Натомість використовуйте «%s».
Escoyeta,Tria,選擇,Volba,Keuze,Choice,Valinta,Choix,არჩევანი,Wahl,विकल्प,選択,,Escolha,Выбор,Opción,Seçenek,Варіант
Prioridá,Prioritat,優先級,Priorita,Prioriteit,Priority,Etusijaisuus,Priorité,პრიორიტეტი,Priorität,प्राथमिकता,優先度,,Prioridade,Приоритет,Prioridad,Öncelik,Пріоритет
Afitar escoyeta,Estableix la tria,設定選擇,Nastavit výběr,Keuze maken,Set choice,Aseta valinta,Choix de l'option,არჩევანის მითითება,Wahl treffen,विकल्प सेट करें,選択,,Definir escolha,Задать выбор,Usar la opción,Seçimi ayarla,Задати варіант
Afitar mou automáticu,Estableix el mode automàtic,設定自動模式,Nastavit režim auto,Automatische modus instellen,Set automatic mode,Aseta automaattinen tila,Régler le mode automatique,ავტომატური რეჟიმის დაყენება,Automatischen Modus setzen,स्वतः मोड सेट करें,自動モードに設定する,,Definir modo automático,Задать автоматический режим,Usar el modo automático,Otomatik modu ayarla,Задати автоматичний режим
Nome:,Nom:,名稱：,Název:,Naam:,Name:,Nimi:,Nom :,სახელი:,Name:,नाम :,名前:,,Nome:,Имя:,Nombre:,İsim:,Назва:
Estáu:,Estat:,狀態：,Stav:,Status:,Status:,Tila:,Statut :,სტატუსი:,Status:,स्थिति :,状態:,,Status:,Состояние:,Estado:,Durum:,Стан:
Escoyeta actual:,Tria actual:,目前的選擇：,Současný výběr:,Huidige keuze:,Current choice:,Nykyinen valinta:,Choix actuel :,მიმდინარე არჩევანი:,Momentane Wahl:,वर्तमान विकल्प :,現在の選択:,,Escolha atual:,Текущий выбор:,Elección actual:,Mevcut seçim:,Поточний варіант:
Ayuda,Ajuda,說明,Pomoc,Hulp,Help,Ohje,Aide,დახმარება,Hilfe,सहायता,ヘルプ,,Ajuda,Справка,Ayuda,Yardım,Довідка
